Source,Target,Weight
1,2,24085.25
1,3,36710.0
1,4,27310.0
1,5,25211.0
1,6,2698.0
1,7,12172.0
1,8,92042.0
1,9,50112.0
1,10,48680.0
1,11,5861.25
1,12,17943.0
1,13,6564.25
1,14,5982.0
1,15,28867.0
1,16,5028.0
1,17,38632.0
1,18,9479.0
1,19,18696.0
1,20,4160.0
2,1,24085.25
2,3,102439.25
2,4,32095.25
2,5,12554.25
2,6,13991.25
2,7,8999.25
2,8,154806.25
2,9,8079.25
2,10,7423.25
2,11,13644.0
2,12,30768.25
2,13,9989.0
2,14,7613.25
2,15,4128.25
2,16,10457.25
2,17,26689.25
2,18,48908.25
2,19,3639.25
2,20,21219.25
3,1,36710.0
3,2,102439.25
3,4,66782.0
3,5,95329.0
3,6,45066.0
3,7,63546.0
3,8,51308.0
3,9,151404.0
3,10,150226.0
3,11,42929.25
3,12,54363.0
3,13,51256.25
3,14,67980.0
3,15,114403.0
3,16,50260.0
3,17,103632.0
3,18,10207.0
3,19,89142.0
3,20,34376.0
4,1,27310.0
4,2,32095.25
4,3,66782.0
4,5,14565.0
4,6,22332.0
4,7,16150.0
4,8,86000.0
4,9,45032.0
4,10,45152.0
4,11,17427.25
4,12,17975.0
4,13,17858.25
4,14,25380.0
4,15,29343.0
4,16,18444.0
4,17,26132.0
4,18,33405.0
4,19,21056.0
4,20,13502.0
5,1,25211.0
5,2,12554.25
5,3,95329.0
5,4,14565.0
5,6,18535.0
5,7,7651.0
5,8,105963.0
5,9,14279.0
5,10,14495.0
5,11,16104.25
5,12,10540.0
5,13,12995.25
5,14,12263.0
5,15,5424.0
5,16,13895.0
5,17,5059.0
5,18,46226.0
5,19,3975.0
5,20,18317.0
6,1,2698.0
6,2,13991.25
6,3,45066.0
6,4,22332.0
6,5,18535.0
6,7,4802.0
6,8,101336.0
6,9,35246.0
6,10,34178.0
6,11,1665.25
6,12,16955.0
6,13,1580.25
6,14,3346.0
6,15,18571.0
6,16,916.0
6,17,32020.0
6,18,12639.0
6,19,10374.0
6,20,2678.0
7,1,12172.0
7,2,8999.25
7,3,63546.0
7,4,16150.0
7,5,7651.0
7,6,4802.0
7,8,98514.0
7,9,20552.0
7,10,20322.0
7,11,3595.25
7,12,10777.0
7,13,2354.25
7,14,5706.0
7,15,8537.0
7,16,3062.0
7,17,15758.0
7,18,24163.0
7,19,3448.0
7,20,6764.0
8,1,92042.0
8,2,154806.25
8,3,51308.0
8,4,86000.0
8,5,105963.0
8,6,101336.0
8,7,98514.0
8,9,186928.0
8,10,188232.0
8,11,91740.25
8,12,52369.0
8,13,100191.25
8,14,120898.0
8,15,147129.0
8,16,101972.0
8,17,86760.0
8,18,61045.0
8,19,124056.0
8,20,79850.0
9,1,50112.0
9,2,8079.25
9,3,151404.0
9,4,45032.0
9,5,14279.0
9,6,35246.0
9,7,20552.0
9,8,186928.0
9,10,62.0
9,11,33589.25
9,12,43369.0
9,13,26976.25
9,14,22318.0
9,15,3609.0
9,16,28456.0
9,17,24740.0
9,18,84251.0
9,19,8642.0
9,20,44050.0
10,1,48680.0
10,2,7423.25
10,3,150226.0
10,4,45152.0
10,5,14495.0
10,6,34178.0
10,7,20322.0
10,8,188232.0
10,9,62.0
10,11,32939.25
10,12,43689.0
10,13,26334.25
10,14,21202.0
10,15,3421.0
10,16,27660.0
10,17,25652.0
10,18,83185.0
10,19,8408.0
10,20,43320.0
11,1,5861.25
11,2,13644.0
11,3,42929.25
11,4,17427.25
11,5,16104.25
11,6,1665.25
11,7,3595.25
11,8,91740.25
11,9,33589.25
11,10,32939.25
11,12,13770.25
11,13,433.0
11,14,5761.25
11,15,18430.25
11,16,593.25
11,17,27649.25
11,18,11854.25
11,19,9163.25
11,20,1557.25
12,1,17943.0
12,2,30768.25
12,3,54363.0
12,4,17975.0
12,5,10540.0
12,6,16955.0
12,7,10777.0
12,8,52369.0
12,9,43369.0
12,10,43689.0
12,11,13770.25
12,13,14117.25
12,14,18639.0
12,15,24460.0
12,16,14997.0
12,17,8349.0
12,18,23784.0
12,19,16331.0
12,20,12351.0
13,1,6564.25
13,2,9989.0
13,3,51256.25
13,4,17858.25
13,5,12995.25
13,6,1580.25
13,7,2354.25
13,8,100191.25
13,9,26976.25
13,10,26334.25
13,11,433.0
13,12,14117.25
13,14,3692.25
13,15,13593.25
13,16,156.25
13,17,24812.25
13,18,16193.25
13,19,5946.25
13,20,2792.25
14,1,5982.0
14,2,7613.25
14,3,67980.0
14,4,25380.0
14,5,12263.0
14,6,3346.0
14,7,5706.0
14,8,120898.0
14,9,22318.0
14,10,21202.0
14,11,5761.25
14,12,18639.0
14,13,3692.25
14,15,9767.0
14,16,2906.0
14,17,25990.0
14,18,26083.0
14,19,5180.0
14,20,8420.0
15,1,28867.0
15,2,4128.25
15,3,114403.0
15,4,29343.0
15,5,5424.0
15,6,18571.0
15,7,8537.0
15,8,147129.0
15,9,3609.0
15,10,3421.0
15,11,18430.25
15,12,24460.0
15,13,13593.25
15,14,9767.0
15,16,14349.0
15,17,14733.0
15,18,57004.0
15,19,1771.0
15,20,25111.0
16,1,5028.0
16,2,10457.25
16,3,50260.0
16,4,18444.0
16,5,13895.0
16,6,916.0
16,7,3062.0
16,8,101972.0
16,9,28456.0
16,10,27660.0
16,11,593.25
16,12,14997.0
16,13,156.25
16,14,2906.0
16,15,14349.0
16,17,26704.0
16,18,15449.0
16,19,6642.0
16,20,2456.0
17,1,38632.0
17,2,26689.25
17,3,103632.0
17,4,26132.0
17,5,5059.0
17,6,32020.0
17,7,15758.0
17,8,86760.0
17,9,24740.0
17,10,25652.0
17,11,27649.25
17,12,8349.0
17,13,24812.25
17,14,25990.0
17,15,14733.0
17,16,26704.0
17,18,56285.0
17,19,13374.0
17,20,30308.0
18,1,9479.0
18,2,48908.25
18,3,10207.0
18,4,33405.0
18,5,46226.0
18,6,12639.0
18,7,24163.0
18,8,61045.0
18,9,84251.0
18,10,83185.0
18,11,11854.25
18,12,23784.0
18,13,16193.25
18,14,26083.0
18,15,57004.0
18,16,15449.0
18,17,56285.0
18,19,39809.0
18,20,7737.0
19,1,18696.0
19,2,3639.25
19,3,89142.0
19,4,21056.0
19,5,3975.0
19,6,10374.0
19,7,3448.0
19,8,124056.0
19,9,8642.0
19,10,8408.0
19,11,9163.25
19,12,16331.0
19,13,5946.25
19,14,5180.0
19,15,1771.0
19,16,6642.0
19,17,13374.0
19,18,39809.0
19,20,14216.0
20,1,4160.0
20,2,21219.25
20,3,34376.0
20,4,13502.0
20,5,18317.0
20,6,2678.0
20,7,6764.0
20,8,79850.0
20,9,44050.0
20,10,43320.0
20,11,1557.25
20,12,12351.0
20,13,2792.25
20,14,8420.0
20,15,25111.0
20,16,2456.0
20,17,30308.0
20,18,7737.0
20,19,14216.0
