Source,Target,Weight
1,6,2698.0
1,7,12172.0
1,11,5861.25
1,13,6564.25
1,14,5982.0
1,16,5028.0
1,18,9479.0
1,20,4160.0
2,5,12554.25
2,6,13991.25
2,7,8999.25
2,9,8079.25
2,10,7423.25
2,11,13644.0
2,13,9989.0
2,14,7613.25
2,15,4128.25
2,16,10457.25
2,19,3639.25
3,18,10207.0
4,5,14565.0
4,7,16150.0
4,20,13502.0
5,2,12554.25
5,4,14565.0
5,7,7651.0
5,9,14279.0
5,10,14495.0
5,11,16104.25
5,12,10540.0
5,13,12995.25
5,14,12263.0
5,15,5424.0
5,16,13895.0
5,17,5059.0
5,19,3975.0
6,1,2698.0
6,2,13991.25
6,7,4802.0
6,11,1665.25
6,13,1580.25
6,14,3346.0
6,16,916.0
6,18,12639.0
6,19,10374.0
6,20,2678.0
7,1,12172.0
7,2,8999.25
7,4,16150.0
7,5,7651.0
7,6,4802.0
7,11,3595.25
7,12,10777.0
7,13,2354.25
7,14,5706.0
7,15,8537.0
7,16,3062.0
7,17,15758.0
7,19,3448.0
7,20,6764.0
9,2,8079.25
9,5,14279.0
9,10,62.0
9,15,3609.0
9,19,8642.0
10,2,7423.25
10,5,14495.0
10,9,62.0
10,15,3421.0
10,19,8408.0
11,1,5861.25
11,2,13644.0
11,5,16104.25
11,6,1665.25
11,7,3595.25
11,12,13770.25
11,13,433.0
11,14,5761.25
11,16,593.25
11,18,11854.25
11,19,9163.25
11,20,1557.25
12,5,10540.0
12,7,10777.0
12,11,13770.25
12,13,14117.25
12,16,14997.0
12,17,8349.0
12,20,12351.0
13,1,6564.25
13,2,9989.0
13,5,12995.25
13,6,1580.25
13,7,2354.25
13,11,433.0
13,12,14117.25
13,14,3692.25
13,15,13593.25
13,16,156.25
13,19,5946.25
13,20,2792.25
14,1,5982.0
14,2,7613.25
14,5,12263.0
14,6,3346.0
14,7,5706.0
14,11,5761.25
14,13,3692.25
14,15,9767.0
14,16,2906.0
14,19,5180.0
14,20,8420.0
15,2,4128.25
15,5,5424.0
15,7,8537.0
15,9,3609.0
15,10,3421.0
15,13,13593.25
15,14,9767.0
15,16,14349.0
15,17,14733.0
15,19,1771.0
16,1,5028.0
16,2,10457.25
16,5,13895.0
16,6,916.0
16,7,3062.0
16,11,593.25
16,12,14997.0
16,13,156.25
16,14,2906.0
16,15,14349.0
16,18,15449.0
16,19,6642.0
16,20,2456.0
17,5,5059.0
17,7,15758.0
17,12,8349.0
17,15,14733.0
17,19,13374.0
18,1,9479.0
18,3,10207.0
18,6,12639.0
18,11,11854.25
18,16,15449.0
18,20,7737.0
19,2,3639.25
19,5,3975.0
19,6,10374.0
19,7,3448.0
19,9,8642.0
19,10,8408.0
19,11,9163.25
19,13,5946.25
19,14,5180.0
19,15,1771.0
19,16,6642.0
19,17,13374.0
19,20,14216.0
20,1,4160.0
20,4,13502.0
20,6,2678.0
20,7,6764.0
20,11,1557.25
20,12,12351.0
20,13,2792.25
20,14,8420.0
20,16,2456.0
20,18,7737.0
20,19,14216.0
