Source,Target,Weight
1,2,32405.0
1,3,102085.25
1,4,14154.0
1,5,9854.0
1,6,14183.0
1,7,8293.0
1,8,986.0
1,9,5163.0
1,10,25964.0
1,11,11353.0
1,12,19363.0
1,13,5425.0
1,14,2512.0
1,15,161887.0
1,16,5080.0
1,17,1142.0
1,18,6049.25
1,19,68281.0
1,20,13285.0
2,1,32405.0
2,3,60610.25
2,4,44969.0
2,5,10731.0
2,6,38014.0
2,7,40680.0
2,8,34459.0
2,9,15728.0
2,10,56821.0
2,11,44060.0
2,12,52402.0
2,13,42478.0
2,14,31521.0
2,15,190480.0
2,16,27003.0
2,17,28847.0
2,18,39734.25
2,19,94438.0
2,20,37592.0
3,1,102085.25
3,2,60610.25
3,4,99747.25
3,5,53529.25
3,6,84280.25
3,7,154370.25
3,8,118827.25
3,9,99562.25
3,10,203473.25
3,11,164386.25
3,12,148404.25
3,13,78190.25
3,14,118711.25
3,15,67316.25
3,16,111097.25
3,17,83249.25
3,18,97286.0
3,19,52926.25
3,20,51118.25
4,1,14154.0
4,2,44969.0
4,3,99747.25
4,5,21544.0
4,6,13403.0
4,7,27413.0
4,8,17480.0
4,9,20945.0
4,10,47062.0
4,11,29427.0
4,12,7737.0
4,13,16869.0
4,14,19124.0
4,15,160801.0
4,16,16574.0
4,17,15044.0
4,18,19445.25
4,19,42009.0
4,20,18767.0
5,1,9854.0
5,2,10731.0
5,3,53529.25
5,4,21544.0
5,6,14777.0
5,7,26187.0
5,8,13968.0
5,9,7415.0
5,10,49162.0
5,11,30567.0
5,12,35903.0
5,13,10787.0
5,14,13950.0
5,15,134259.0
5,16,12186.0
5,17,5966.0
5,18,14255.25
5,19,55915.0
5,20,9027.0
6,1,14183.0
6,2,38014.0
6,3,84280.25
6,4,13403.0
6,5,14777.0
6,7,27772.0
6,8,16957.0
6,9,17174.0
6,10,47339.0
6,11,29432.0
6,12,29032.0
6,13,11970.0
6,14,18183.0
6,15,153574.0
6,16,8885.0
6,17,13521.0
6,18,19748.25
6,19,54526.0
6,20,16304.0
7,1,8293.0
7,2,40680.0
7,3,154370.25
