Source,Target,Weight
1,4,14154.0
1,5,9854.0
1,6,14183.0
1,7,8293.0
1,8,986.0
1,9,5163.0
1,11,11353.0
1,12,19363.0
1,13,5425.0
1,14,2512.0
1,16,5080.0
1,17,1142.0
1,18,6049.25
1,20,13285.0
2,5,10731.0
2,9,15728.0
4,1,14154.0
4,5,21544.0
4,6,13403.0
4,8,17480.0
4,9,20945.0
4,12,7737.0
4,13,16869.0
4,14,19124.0
4,16,16574.0
4,17,15044.0
4,18,19445.25
4,20,18767.0
5,1,9854.0
5,2,10731.0
5,4,21544.0
5,6,14777.0
5,8,13968.0
5,9,7415.0
5,13,10787.0
5,14,13950.0
5,16,12186.0
5,17,5966.0
5,18,14255.25
5,20,9027.0
6,1,14183.0
6,4,13403.0
6,5,14777.0
6,8,16957.0
6,9,17174.0
6,13,11970.0
6,14,18183.0
6,16,8885.0
6,17,13521.0
6,18,19748.25
6,20,16304.0
7,1,8293.0
7,8,3787.0
7,9,6778.0
7,10,5013.0
7,11,346.0
7,12,18048.0
7,14,4097.0
7,16,5949.0
7,17,14935.0
7,18,19262.25
8,1,986.0
8,4,17480.0
8,5,13968.0
8,6,16957.0
8,7,3787.0
8,9,4161.0
8,10,17208.0
8,11,5931.0
8,12,18131.0
8,13,10411.0
8,14,960.0
8,16,3724.0
8,17,4028.0
8,18,8063.25
8,20,21275.0
9,1,5163.0
9,2,15728.0
9,4,20945.0
9,5,7415.0
9,6,17174.0
9,7,6778.0
9,8,4161.0
9,10,18619.0
9,11,8716.0
9,12,21760.0
9,13,16842.0
9,14,3223.0
9,16,3079.0
9,17,6973.0
9,18,12470.25
10,7,5013.0
10,8,17208.0
10,9,18619.0
10,11,3051.0
10,14,16038.0
10,16,16928.0
11,1,11353.0
11,7,346.0
11,8,5931.0
11,9,8716.0
11,10,3051.0
11,12,18058.0
11,14,5923.0
11,16,6869.0
11,17,19031.0
11,18,22908.25
12,1,19363.0
12,4,7737.0
12,7,18048.0
12,8,18131.0
12,9,21760.0
12,11,18058.0
12,14,19523.0
12,16,18309.0
13,1,5425.0
13,4,16869.0
13,5,10787.0
13,6,11970.0
13,8,10411.0
13,9,16842.0
13,14,13411.0
13,16,14621.0
13,17,2679.0
13,18,8412.25
13,20,3522.0
14,1,2512.0
14,4,19124.0
14,5,13950.0
14,6,18183.0
14,7,4097.0
14,8,960.0
14,9,3223.0
14,10,16038.0
14,11,5923.0
14,12,19523.0
14,13,13411.0
14,16,4028.0
14,17,5822.0
14,18,6295.25
16,1,5080.0
16,4,16574.0
16,5,12186.0
16,6,8885.0
16,7,5949.0
16,8,3724.0
16,9,3079.0
16,10,16928.0
16,11,6869.0
16,12,18309.0
16,13,14621.0
16,14,4028.0
16,17,8088.0
16,18,14155.25
17,1,1142.0
17,4,15044.0
17,5,5966.0
17,6,13521.0
17,7,14935.0
17,8,4028.0
17,9,6973.0
17,11,19031.0
17,13,2679.0
17,14,5822.0
17,16,8088.0
17,18,6081.25
17,20,7155.0
18,1,6049.25
18,4,19445.25
18,5,14255.25
18,6,19748.25
18,7,19262.25
18,8,8063.25
18,9,12470.25
18,11,22908.25
18,13,8412.25
18,14,6295.25
18,16,14155.25
18,17,6081.25
18,20,14604.25
20,1,13285.0
20,4,18767.0
20,5,9027.0
20,6,16304.0
20,8,21275.0
20,13,3522.0
20,17,7155.0
20,18,14604.25
