Id,Label
1,Asparagus 5 spears (93 g/3.3 oz)
2,Bell Pepper 1 medium (148 g/5.3 oz)
3,Broccoli 1 medium stalk (148 g/5.3 oz)
4,Carrot 1 carrot, 7" long,æ 1 1/4" diameter (78 g/2.8 oz)
5,Cauliflower 1/6 medium head (99 g/3.5 oz)
6,Celery 2 medium stalks (110 g/3.9 oz)
7,Cucumber 1/3 medium (99 g/3.5 oz)
8,Green (Snap) Beans 3/4 cup cut (83 g/3.0 oz)
9,GreenæCabbage 1/12 medium head (84 g/3.0 oz)
10,Green Onion 1/4 cup chopped (25 g/0.9 oz)
11,Iceberg Lettuce 1/6 medium head (89 g/3.2 oz)
12,Leaf Lettuce 1 1/2 cups shredded (85 g/3.0 oz)
13,Mushrooms 5 medium (84 g/3.0 oz)
14,Onion 1 medium (148 g/5.3 oz)
15,Potato 1 medium (148 g/5.3 oz)
16,Radishes 7 radishes (85 g/3.0 oz)
17,SummeræSquash 1/2 medium (98 g/3.5 oz)
18,Sweet Corn kernels from 1æmedium ear (90 g/3.2 oz)
19,Sweet Potato 1 medium, 5" long,æ2" diameter (130 g/4.6 oz)
20,Tomato 1 medium (148 g/5.3 oz)
